,auction_house_name,auction_location,auction_num,auction_start_date,auction_end_date,auction_name,lot_num,price_estimate_min,price_estimate_max,price_sold,artist_name,artist_birth,artist_death,artist_nationality,artwork_name,artwork_materials,artwork_markings,artwork_measurements_height,artwork_measurements_width,artwork_measurements_depth,artwork_size_notes,auction_measureunit,artwork_images1,artwork_images2,artwork_images3,artwork_images4,artwork_images5,lot_origin_url
0,BONHAMS,"Skinner Marlborough, Massachusetts",28352,2023-01-25,2023-01-26,American Art  Bonhams Skinner,1,400,600,2295.0,James Bogle ,1817,1873,American,Two Boys Fishing ,oil on canvas,signed and inscribed 'Painted by James Bogle N.Y. 1846/...' (on the reverse),10,12,,10 x 12 in. (25.3 x 30.3 cm)framed 15 3/8 x 17 1/2 in.,in.,https://images2.bonhams.com/image?src=Images/live/2022-12/05/185556-11-3.jpg,,,,,https://www.bonhams.com/auctions/28352/lot/1/
1,BONHAMS,"Skinner Marlborough, Massachusetts",28352,2023-01-25,2023-01-26,American Art  Bonhams Skinner,2,1200,1800,7012.5,Charles Bird King ,1785,1862,American,The Jolly Glass of Wine ,oil on canvas,"signed indistinctly (lower right), with a partial inscription on a handkerchief or notepaper tucked in the subject's jacket pocket (lower left quadrant)",30,25 1/4,,30 x 25 1/4 in. (76.2 x 64.0 cm)framed 35 1/4 x 30 1/4 in.,in.,https://images2.bonhams.com/image?src=Images/live/2022-12/05/185556-11-3.jpg,,,,,https://www.bonhams.com/auctions/28352/lot/1/
2,BONHAMS,"Skinner Marlborough, Massachusetts",28352,2023-01-25,2023-01-26,American Art  Bonhams Skinner,3,600,800,828.75,American School ,19th century,,,Harbor Scene with Steamboat ,oil on canvas,signed and dated 'E. Knox/52' (lower left),12,18,,12 x 18 in. (30.5 x 45.7 cm)framed 19 x 25 1/4 in.,in.,https://images2.bonhams.com/image?src=Images/live/2022-12/05/185556-11-3.jpg,,,,,https://www.bonhams.com/auctions/28352/lot/1/
3,BONHAMS,"Skinner Marlborough, Massachusetts",28352,2023-01-25,2023-01-26,American Art  Bonhams Skinner,4,800,1200,6120.0,George Washington Nicholson ,1832,1912,American,Seascape with Rocks ,oil on panel,"signed 'G.W. Nicholson' (lower left), titled on a label from Kennedy Galleries, New York (affixed to the reverse)",,,,24 x 34 in. (61.0 x 86.3 cm)framed 28 1/2 x 39 in.,,https://images2.bonhams.com/image?src=Images/live/2022-12/05/185556-11-3.jpg,,,,,https://www.bonhams.com/auctions/28352/lot/1/
4,BONHAMS,"Skinner Marlborough, Massachusetts",28352,2023-01-25,2023-01-26,American Art  Bonhams Skinner,5,1000,1500,2422.5,Charles Paul Gruppe ,1860,1940,American,Autumn in the Catskills ,oil on artist board,"signed 'Chas. P. Gruppe' (lower right), titled in an inscription on the reverse",,,,14 x 20 in. (35.5 x 50.8 cm)framed 24 1/2 x 30 1/2 in.,,https://images2.bonhams.com/image?src=Images/live/2022-12/05/185556-11-3.jpg,,,,,https://www.bonhams.com/auctions/28352/lot/1/
5,BONHAMS,"Skinner Marlborough, Massachusetts",28352,2023-01-25,2023-01-26,American Art  Bonhams Skinner,6,1200,1800,1402.5,Henry Singlewood Bisbing ,1849,1933,American,Summer Day in the Hills ,oil on canvas,monogram signed and dated 'HSBisbing/90' (lower left),,,,20 x 29 in. (50.0 x 73.5 cm)period frame 30 1/2 x 39 in.,,https://images2.bonhams.com/image?src=Images/live/2022-12/05/185556-11-3.jpg,,,,,https://www.bonhams.com/auctions/28352/lot/1/
6,BONHAMS,"Skinner Marlborough, Massachusetts",28352,2023-01-25,2023-01-26,American Art  Bonhams Skinner,7,6000,8000,7650.0,Robert Verity Clem ,1933,2010,American,Peregrine Falcon at Taughannock Falls ,gouache on heavy pressed paperboard,signed and dated 'Robert Verity Clem/1960' (lower left),34 1/2,26 1/2,,34 1/2 x 26 1/2 in. (87.0 x 67.5 cm)framed 38 3/4 x 30 3/4 in.,in.,https://images2.bonhams.com/image?src=Images/live/2022-12/05/185556-11-3.jpg,,,,,https://www.bonhams.com/auctions/28352/lot/1/
7,BONHAMS,"Skinner Marlborough, Massachusetts",28352,2023-01-25,2023-01-26,American Art  Bonhams Skinner,8,2000,3000,2805.0,William Morris Hunt ,1824,1879,American,Landscape with Majestic Trees and Distant Grazing Flock ,oil on canvas,"monogrammed 'WMH' (lower right), identified on a handwritten label (affixed to the stretcher)",16,22,,16 x 22 in. (40.5 x 55.5 cm)framed 19 1/2 x 25 1/2 in.,in.,https://images2.bonhams.com/image?src=Images/live/2022-12/05/185556-11-3.jpg,,,,,https://www.bonhams.com/auctions/28352/lot/1/
8,BONHAMS,"Skinner Marlborough, Massachusetts",28352,2023-01-25,2023-01-26,American Art  Bonhams Skinner,9,0,0,0.0,,,,,,,,,,,,,https://images2.bonhams.com/image?src=Images/live/2022-12/05/185556-11-3.jpg,,,,,https://www.bonhams.com/auctions/28352/lot/1/
9,BONHAMS,"Skinner Marlborough, Massachusetts",28352,2023-01-25,2023-01-26,American Art  Bonhams Skinner,10,600,800,765.0,American School ,19th Century,,,Picnic at the Lake ,oil on canvas,unsigned,22,29 3/4,,22 x 29 3/4 in. (55.9 x 75.5 cm)framed 29 1/4 x 37 1/4 in.,in.,https://images2.bonhams.com/image?src=Images/live/2022-12/05/185556-11-3.jpg,,,,,https://www.bonhams.com/auctions/28352/lot/1/
10,BONHAMS,"Skinner Marlborough, Massachusetts",28352,2023-01-25,2023-01-26,American Art  Bonhams Skinner,11,2000,3000,1912.5,Edward B. Gay ,1837,1928,American,Farm Landscape,oil on canvas ,signed and dated 'Edward Gay 1870' (lower right),22,40,,22 x 40 in. (55.9 x 101.6 cm)framed 29 3/4 x 47 3/4 in.,in.,https://images2.bonhams.com/image?src=Images/live/2022-12/05/185556-11-3.jpg,,,,,https://www.bonhams.com/auctions/28352/lot/1/
11,BONHAMS,"Skinner Marlborough, Massachusetts",28352,2023-01-25,2023-01-26,American Art  Bonhams Skinner,12,4000,6000,5100.0,Charles DeWolf Brownell ,1822,1909,American,The Source of the River ,oil on canvas,signed and dated 'C.DW. Brownell/1861' (lower right),24,44,,24 x 44 in. (61.5 x 111.8 cm)framed 31 1/4 x 51 1/4 in.,in.,https://images2.bonhams.com/image?src=Images/live/2022-12/05/185556-11-3.jpg,,,,,https://www.bonhams.com/auctions/28352/lot/1/
12,BONHAMS,"Skinner Marlborough, Massachusetts",28352,2023-01-25,2023-01-26,American Art  Bonhams Skinner,13,12000,15000,12750.0,Worthington Whittredge ,1820,1910,American,"Study of Sumacs and Immortals, Autumn ",oil on canvas,"signed 'W. Whittredge' (lower right), titled (on the reverse), inscribed '822' (on the reverse), and with a label from Hirschl &amp; Adler Galleries, New York (affixed to the frame backing)",,,,10 1/8 x 13 5/8 in. (25.7 x 34.6 cm)framed 15 1/2 x 19 in.,,https://images2.bonhams.com/image?src=Images/live/2022-12/05/185556-11-3.jpg,,,,,https://www.bonhams.com/auctions/28352/lot/1/
